"brewery","beer"
26,221305
26,76332
26,205682
26,198010
26,84516
26,98263
26,79808
26,159539
26,140648
26,46961
26,84027
26,60798
26,91589
26,160508
26,116512
26,92555
26,220455
26,79984
26,176534
26,20634
26,39
26,7438
26,22493
26,75369
26,45188
26,181048
26,184050
26,62898
26,46080
26,169849
26,36536
26,52531
26,88393
26,75188
26,47839
26,40508
26,109977
26,68719
26,79507
26,108721
26,79508
26,109311
26,86930
26,108835
26,105666
26,34631
26,34733
26,90049
26,52304
26,92890
26,77377
26,227502
26,57509
26,82436
26,89268
26,92901
26,82837
26,220471
26,4810
26,171206
26,76272
26,169841
26,106528
26,15117
26,75320
26,47622
26,188114
26,7560
26,41716
26,227225
26,87118
26,50722
26,27160
26,75268
26,118345
26,46860
26,169754
26,116308
26,70380
26,69553
26,30184
26,51654
26,35327
26,223920
26,63478
26,197617
26,70446
26,68691
26,16520
26,29127
26,85618
26,38
26,83138
26,161730
26,84385
26,92726
26,27395
26,4630
26,92891
26,67197
26,180542
26,108696
26,130399
26,62895
26,33453
26,77378
26,169836
26,85075
26,212072
26,169752
26,80776
26,80777
26,143935
26,185915
26,52839
26,143937
26,72121
26,134354
26,66309
26,86804
26,192365
26,75322
26,89108
26,200918
26,7520
26,77508
26,36371
26,42060
26,29180
26,84903
26,135296
26,120409
26,49429
26,29181
26,100457
26,49492
26,1558
26,27625
26,45823
26,92862
26,69873
26,15590
26,68572
26,40
26,37489
26,43684
26,129337
26,126705
26,205681
26,194170
26,85998
26,157173
26,225930
26,175895
26,168599
26,64576
26,22981
26,37780
26,54304
26,9478
26,41420
26,62891
26,74970
26,214316
26,135994
26,117444
26,42346
26,35916
26,70295
26,60261
26,227260
26,60262
26,105966
26,89830
26,24783
26,61044
26,50443
26,26170
26,127493
26,73005
26,64912
26,185224
26,78171
26,214481
26,225929
26,106014
26,69669
26,217791
26,36190
26,199583
26,156682
26,111010
26,57935
26,42349
26,94966
26,84515
26,27091
26,117443
26,89107
26,25435
26,148626
26,33236
26,87981
26,79663
26,146269
26,138417
26,9339
26,72886
26,60796
26,176762
26,27830
26,192355
26,185939
26,91670
26,34987
26,47530
26,92659
26,177287
26,169850
26,119745
26,171932
26,206512
26,170239
26,78685
26,17790
26,1158
26,195142
26,225935
26,4629
26,112495
26,68138
26,98444
26,32296
26,72888
26,37606
26,37096
26,84517
26,1159
26,166539
26,37605
26,72123
26,225936
26,121349
26,76331
26,80432
26,85094
26,56919
26,50442
26,105379
26,55457
26,188115
26,132339
26,150916
26,36187
26,211697
26,85495
26,75319
26,91358
26,73180
26,131964
26,117442
26,31448
26,86165
26,54788
26,175894
26,78569
26,117152
26,101565
26,89760
26,26100
26,43130
26,225937
26,227906
26,117445
26,117441
26,62893
26,36537
26,119203
26,170093
26,44622
26,70078
26,148967
26,148968
26,148969
26,68081
26,158395
26,23432
26,92437
26,78568
26,42378
26,91132
26,40122
26,46587
26,225931
26,150790
26,205683
26,169740
26,99546
26,174523
26,203431
26,20959
26,110744
26,64228
26,49427
1199,128954
1199,197403
1199,170935
1199,179678
1199,113114
1199,157347
1199,137744
1199,127266
1199,157370
1199,111699
1199,182752
1199,199444
